TOA,Delta TOA,PW,power,angle
255,0.0,0.5,1.8,40
440,185.0,0.4,1.7,56
510,70.0,0.5,1.8,40
765,255.0,0.5,1.8,40
870,105.0,0.4,1.7,56
1020,150.0,0.5,1.8,40
1275,255.0,0.5,1.8,40
1300,25.0,0.4,1.7,56
1530,230.0,0.5,1.8,40
1730,200.0,0.4,1.7,56
1785,55.0,0.5,1.8,40
2040,255.0,0.5,1.8,40
2160,120.0,0.4,1.7,56
2295,135.0,0.5,1.8,40
2550,255.0,0.5,1.8,40
2590,40.0,0.4,1.7,56
2805,215.0,0.5,1.8,40
3020,215.0,0.4,1.7,56
3060,40.0,0.5,1.8,40
3315,255.0,0.5,1.8,40
3450,135.0,0.4,1.7,56
3570,120.0,0.5,1.8,40
3825,255.0,0.5,1.8,40
3880,55.0,0.4,1.7,56
4080,200.0,0.5,1.8,40
4310,230.0,0.4,1.7,56
4335,25.0,0.5,1.8,40
4590,255.0,0.5,1.8,40
4740,150.0,0.4,1.7,56
4845,105.0,0.5,1.8,40
5100,255.0,0.5,1.8,40
5170,70.0,0.4,1.7,56
5355,185.0,0.5,1.8,40
5600,245.0,0.4,1.7,56
5610,10.0,0.5,1.8,40
5865,255.0,0.5,1.8,40
6030,165.0,0.4,1.7,56
6120,90.0,0.5,1.8,40
6375,255.0,0.5,1.8,40
6460,85.0,0.4,1.7,56
6630,170.0,0.5,1.8,40
6885,255.0,0.5,1.8,40
6890,5.0,0.4,1.7,56
7140,250.0,0.5,1.8,40
7320,180.0,0.4,1.7,56
7395,75.0,0.5,1.8,40
7650,255.0,0.5,1.8,40
7750,100.0,0.4,1.7,56
7905,155.0,0.5,1.8,40
8160,255.0,0.5,1.8,40
8180,20.0,0.4,1.7,56
8415,235.0,0.5,1.8,40
8610,195.0,0.4,1.7,56
8670,60.0,0.5,1.8,40
8925,255.0,0.5,1.8,40
9040,115.0,0.4,1.7,56
9180,140.0,0.5,1.8,40
9435,255.0,0.5,1.8,40
9470,35.0,0.4,1.7,56
9690,220.0,0.5,1.8,40
9900,210.0,0.4,1.7,56
9945,45.0,0.5,1.8,40
10200,255.0,0.5,1.8,40
10330,130.0,0.4,1.7,56
10455,125.0,0.5,1.8,40
10710,255.0,0.5,1.8,40
10760,50.0,0.4,1.7,56
10965,205.0,0.5,1.8,40
11190,225.0,0.4,1.7,56
11220,30.0,0.5,1.8,40
11475,255.0,0.5,1.8,40
11620,145.0,0.4,1.7,56
11730,110.0,0.5,1.8,40
11985,255.0,0.5,1.8,40
12050,65.0,0.4,1.7,56
12240,190.0,0.5,1.8,40
12480,240.0,0.4,1.7,56
12495,15.0,0.5,1.8,40
12750,255.0,0.5,1.8,40
12910,160.0,0.4,1.7,56
13005,95.0,0.5,1.8,40
13260,255.0,0.5,1.8,40
13340,80.0,0.4,1.7,56
13515,175.0,0.5,1.8,40
