TOA,Delta TOA,PW,power,angle
89,0.0,0.4,1.7,34
320,231.0,0.6,2.4,5
172,-148.0,0.3,1.4,57
227,55.0,0.4,1.7,34
640,413.0,0.6,2.4,5
960,320.0,0.6,2.4,5
412.4,-547.6,0.5,1.9,37
434,21.6,0.4,1.7,34
469,35.0,0.3,1.4,57
503,34.0,0.4,1.7,34
1280,777.0,0.6,2.4,5
1600,320.0,0.6,2.4,5
1920,320.0,0.6,2.4,5
771.1,-1148.9,0.5,1.9,37
779,7.9,0.4,1.7,34
2240,1461.0,0.6,2.4,5
2560,320.0,0.6,2.4,5
982,-1578.0,0.3,1.4,57
986,4.0,0.4,1.7,34
2880,1894.0,0.6,2.4,5
3200,320.0,0.6,2.4,5
1173.2,-2026.8,0.5,1.9,37
1193,19.8,0.4,1.7,34
3520,2327.0,0.6,2.4,5
3840,320.0,0.6,2.4,5
4160,320.0,0.6,2.4,5
4480,320.0,0.6,2.4,5
4800,320.0,0.6,2.4,5
1579.3,-3220.7,0.5,1.9,37
1603,23.7,0.3,1.4,57
1607,4.0,0.4,1.7,34
5120,3513.0,0.6,2.4,5
5440,320.0,0.6,2.4,5
1765,-3675.0,0.3,1.4,57
1814,49.0,0.4,1.7,34
5760,3946.0,0.6,2.4,5
1914.3,-3845.7,0.5,1.9,37
1952,37.7,0.4,1.7,34
6080,4128.0,0.6,2.4,5
2062,-4018.0,0.3,1.4,57
2090,28.0,0.4,1.7,34
6400,4310.0,0.6,2.4,5
2320.4,-4079.6,0.5,1.9,37
2412,91.6,0.4,1.7,34
6720,4308.0,0.6,2.4,5
2575,-4145.0,0.3,1.4,57
2663.3,88.3,0.5,1.9,37
2734,70.7,0.4,1.7,34
7040,4306.0,0.6,2.4,5
7360,320.0,0.6,2.4,5
3057.5,-4302.5,0.5,1.9,37
3196,138.5,0.3,1.4,57
3217,21.0,0.4,1.7,34
3358,141.0,0.3,1.4,57
3378,20.0,0.4,1.7,34
3392.6,14.6,0.5,1.9,37
3539,146.4,0.4,1.7,34
3655,116.0,0.3,1.4,57
3700,45.0,0.4,1.7,34
3723.7,23.7,0.5,1.9,37
3861,137.3,0.4,1.7,34
7680,3819.0,0.6,2.4,5
4078.5,-3601.5,0.5,1.9,37
4168,89.5,0.3,1.4,57
4183,15.0,0.4,1.7,34
8000,3817.0,0.6,2.4,5
4437.2,-3562.8,0.5,1.9,37
4505,67.8,0.4,1.7,34
8320,3815.0,0.6,2.4,5
4789,-3531.0,0.3,1.4,57
4803.8,14.8,0.5,1.9,37
4827,23.2,0.4,1.7,34
4951,124.0,0.3,1.4,57
4988,37.0,0.4,1.7,34
8640,3652.0,0.6,2.4,5
5198,-3442.0,0.5,1.9,37
5248,50.0,0.3,1.4,57
5310,62.0,0.4,1.7,34
8960,3650.0,0.6,2.4,5
5529.1,-3430.9,0.5,1.9,37
5632,102.9,0.4,1.7,34
5761,129.0,0.3,1.4,57
5793,32.0,0.4,1.7,34
5887.9,94.9,0.5,1.9,37
5954,66.1,0.4,1.7,34
9280,3326.0,0.6,2.4,5
6230.8,-3049.2,0.5,1.9,37
6276,45.2,0.4,1.7,34
6382,106.0,0.3,1.4,57
6437,55.0,0.4,1.7,34
6544,107.0,0.3,1.4,57
6593.5,49.5,0.5,1.9,37
6598,4.5,0.4,1.7,34
9600,3002.0,0.6,2.4,5
6841,-2759.0,0.3,1.4,57
6920,79.0,0.4,1.7,34
6944.3,24.3,0.5,1.9,37
6966,21.7,0.4,1.7,34
9920,2954.0,0.6,2.4,5
10240,320.0,0.6,2.4,5
10560,320.0,0.6,2.4,5
10880,320.0,0.6,2.4,5
11200,320.0,0.6,2.4,5
11520,320.0,0.6,2.4,5
11840,320.0,0.6,2.4,5
7314.9,-4525.1,0.5,1.9,37
7334,19.1,0.4,1.7,34
7354,20.0,0.3,1.4,57
7380,26.0,0.4,1.7,34
12160,4780.0,0.6,2.4,5
12480,320.0,0.6,2.4,5
12800,320.0,0.6,2.4,5
13120,320.0,0.6,2.4,5
13440,320.0,0.6,2.4,5
13760,320.0,0.6,2.4,5
14080,320.0,0.6,2.4,5
7705.1,-6374.9,0.5,1.9,37
7748,42.9,0.4,1.7,34
14400,6652.0,0.6,2.4,5
14720,320.0,0.6,2.4,5
15040,320.0,0.6,2.4,5
15360,320.0,0.6,2.4,5
7975,-7385.0,0.3,1.4,57
7978,3.0,0.4,1.7,34
15680,7702.0,0.6,2.4,5
8048.1,-7631.9,0.5,1.9,37
8070,21.9,0.4,1.7,34
16000,7930.0,0.6,2.4,5
8137,-7863.0,0.3,1.4,57
8162,25.0,0.4,1.7,34
16320,8158.0,0.6,2.4,5
16640,320.0,0.6,2.4,5
16960,320.0,0.6,2.4,5
8402.9,-8557.1,0.5,1.9,37
8434,31.1,0.3,1.4,57
8622,188.0,0.4,1.7,34
8769.5,147.5,0.5,1.9,37
8944,174.5,0.4,1.7,34
8947,3.0,0.3,1.4,57
9175.5,228.5,0.5,1.9,37
9266,90.5,0.4,1.7,34
9557.9,291.9,0.5,1.9,37
9568,10.1,0.3,1.4,57
9588,20.0,0.4,1.7,34
9730,142.0,0.3,1.4,57
9896.9,166.9,0.5,1.9,37
9910,13.1,0.4,1.7,34
10027,117.0,0.3,1.4,57
10232,205.0,0.4,1.7,34
10299,67.0,0.5,1.9,37
10540,241.0,0.3,1.4,57
