TOA,Delta TOA,PW,power,angle
192,0,0.3,1.4,57
250,58,0.6,2.3,46
255,5,0.5,1.8,40
440,185,0.4,1.7,56
489,49,0.3,1.4,57
510,21,0.5,1.8,40
765,255,0.5,1.8,40
870,105,0.4,1.7,56
940,70,0.6,2.3,46
1002,62,0.3,1.4,57
1020,18,0.5,1.8,40
1170,150,0.6,2.3,46
1275,105,0.5,1.8,40
1300,25,0.4,1.7,56
1530,230,0.5,1.8,40
1623,93,0.3,1.4,57
1730,107,0.4,1.7,56
1785,55,0.5,1.8,40
1860,75,0.6,2.3,46
2040,180,0.5,1.8,40
2082,42,0.3,1.4,57
2090,8,0.6,2.3,46
2160,70,0.4,1.7,56
2295,135,0.5,1.8,40
2550,255,0.5,1.8,40
2590,40,0.4,1.7,56
2595,5,0.3,1.4,57
2780,185,0.6,2.3,46
2805,25,0.5,1.8,40
3010,205,0.6,2.3,46
3020,10,0.4,1.7,56
3060,40,0.5,1.8,40
3216,156,0.3,1.4,57
3315,99,0.5,1.8,40
3378,63,0.3,1.4,57
3450,72,0.4,1.7,56
3570,120,0.5,1.8,40
3675,105,0.3,1.4,57
3700,25,0.6,2.3,46
3825,125,0.5,1.8,40
3880,55,0.4,1.7,56
3930,50,0.6,2.3,46
4080,150,0.5,1.8,40
4188,108,0.3,1.4,57
4310,122,0.4,1.7,56
4335,25,0.5,1.8,40
4590,255,0.5,1.8,40
4620,30,0.6,2.3,46
4740,120,0.4,1.7,56
4809,69,0.3,1.4,57
4845,36,0.5,1.8,40
4850,5,0.6,2.3,46
4971,121,0.3,1.4,57
5100,129,0.5,1.8,40
5170,70,0.4,1.7,56
5268,98,0.3,1.4,57
5355,87,0.5,1.8,40
5540,185,0.6,2.3,46
5600,60,0.4,1.7,56
5610,10,0.5,1.8,40
5770,160,0.6,2.3,46
5781,11,0.3,1.4,57
5865,84,0.5,1.8,40
6030,165,0.4,1.7,56
6120,90,0.5,1.8,40
6375,255,0.5,1.8,40
6402,27,0.3,1.4,57
6460,58,0.4,1.7,56
6564,104,0.3,1.4,57
6630,66,0.5,1.8,40
6690,60,0.6,2.3,46
6861,171,0.3,1.4,57
6885,24,0.5,1.8,40
6890,5,0.4,1.7,56
7140,250,0.5,1.8,40
7320,180,0.4,1.7,56
7374,54,0.3,1.4,57
7380,6,0.6,2.3,46
7395,15,0.5,1.8,40
7610,215,0.6,2.3,46
7650,40,0.5,1.8,40
7750,100,0.4,1.7,56
7905,155,0.5,1.8,40
7995,90,0.3,1.4,57
8160,165,0.5,1.8,40
8180,20,0.4,1.7,56
8300,120,0.6,2.3,46
8415,115,0.5,1.8,40
8454,39,0.3,1.4,57
8530,76,0.6,2.3,46
8610,80,0.4,1.7,56
8670,60,0.5,1.8,40
8925,255,0.5,1.8,40
8967,42,0.3,1.4,57
9040,73,0.4,1.7,56
9180,140,0.5,1.8,40
9220,40,0.6,2.3,46
9435,215,0.5,1.8,40
9450,15,0.6,2.3,46
9470,20,0.4,1.7,56
9588,118,0.3,1.4,57
9690,102,0.5,1.8,40
9750,60,0.3,1.4,57
9900,150,0.4,1.7,56
9945,45,0.5,1.8,40
10047,102,0.3,1.4,57
10140,93,0.6,2.3,46
10200,60,0.5,1.8,40
10330,130,0.4,1.7,56
10370,40,0.6,2.3,46
10455,85,0.5,1.8,40
10560,105,0.3,1.4,57
10710,150,0.5,1.8,40
10760,50,0.4,1.7,56
10965,205,0.5,1.8,40
11060,95,0.6,2.3,46
11181,121,0.3,1.4,57
11190,9,0.4,1.7,56
11220,30,0.5,1.8,40
11290,70,0.6,2.3,46
11343,53,0.3,1.4,57
11475,132,0.5,1.8,40
11620,145,0.4,1.7,56
11640,20,0.3,1.4,57
11730,90,0.5,1.8,40
11980,250,0.6,2.3,46
11985,5,0.5,1.8,40
12050,65,0.4,1.7,56
12153,103,0.3,1.4,57
12210,57,0.6,2.3,46
12240,30,0.5,1.8,40
12480,240,0.4,1.7,56
12495,15,0.5,1.8,40
12750,255,0.5,1.8,40
12774,24,0.3,1.4,57
12900,126,0.6,2.3,46
12910,10,0.4,1.7,56
12936,26,0.3,1.4,57
13005,69,0.5,1.8,40
13130,125,0.6,2.3,46
13233,103,0.3,1.4,57
13260,27,0.5,1.8,40
13340,80,0.4,1.7,56
13515,175,0.5,1.8,40
13746,231,0.3,1.4,57
13770,24,0.5,1.8,40
13820,50,0.6,2.3,46
