TOA,Delta TOA,PW,power,angle
430,0,0.4,1.7,56
860,430,0.4,1.7,56
1290,430,0.4,1.7,56
1720,430,0.4,1.7,56
2150,430,0.4,1.7,56
2580,430,0.4,1.7,56
3010,430,0.4,1.7,56
3440,430,0.4,1.7,56
3870,430,0.4,1.7,56
4300,430,0.4,1.7,56
4730,430,0.4,1.7,56
5160,430,0.4,1.7,56
5590,430,0.4,1.7,56
6020,430,0.4,1.7,56
6450,430,0.4,1.7,56
6880,430,0.4,1.7,56
7310,430,0.4,1.7,56
7740,430,0.4,1.7,56
8170,430,0.4,1.7,56
8600,430,0.4,1.7,56
9030,430,0.4,1.7,56
9460,430,0.4,1.7,56
9890,430,0.4,1.7,56
10320,430,0.4,1.7,56
10750,430,0.4,1.7,56
11180,430,0.4,1.7,56
11610,430,0.4,1.7,56
12040,430,0.4,1.7,56
12470,430,0.4,1.7,56
12900,430,0.4,1.7,56
13330,430,0.4,1.7,56
13760,430,0.4,1.7,56
14190,430,0.4,1.7,56
14620,430,0.4,1.7,56
15050,430,0.4,1.7,56
15480,430,0.4,1.7,56
15910,430,0.4,1.7,56
16340,430,0.4,1.7,56
16770,430,0.4,1.7,56
17200,430,0.4,1.7,56
17630,430,0.4,1.7,56
18060,430,0.4,1.7,56
18490,430,0.4,1.7,56
18920,430,0.4,1.7,56
19350,430,0.4,1.7,56
19780,430,0.4,1.7,56
20210,430,0.4,1.7,56
20640,430,0.4,1.7,56
21070,430,0.4,1.7,56
21500,430,0.4,1.7,56
21930,430,0.4,1.7,56
22360,430,0.4,1.7,56
22790,430,0.4,1.7,56
23220,430,0.4,1.7,56
23650,430,0.4,1.7,56
24080,430,0.4,1.7,56
24510,430,0.4,1.7,56
24940,430,0.4,1.7,56
25370,430,0.4,1.7,56
25800,430,0.4,1.7,56
26230,430,0.4,1.7,56
26660,430,0.4,1.7,56
27090,430,0.4,1.7,56
27520,430,0.4,1.7,56
27950,430,0.4,1.7,56
28380,430,0.4,1.7,56
28810,430,0.4,1.7,56
29240,430,0.4,1.7,56
29670,430,0.4,1.7,56
30100,430,0.4,1.7,56
30530,430,0.4,1.7,56
30960,430,0.4,1.7,56
31390,430,0.4,1.7,56
31820,430,0.4,1.7,56
32250,430,0.4,1.7,56
32680,430,0.4,1.7,56
33110,430,0.4,1.7,56
33540,430,0.4,1.7,56
33970,430,0.4,1.7,56
34400,430,0.4,1.7,56
34830,430,0.4,1.7,56
35260,430,0.4,1.7,56
35690,430,0.4,1.7,56
36120,430,0.4,1.7,56
36550,430,0.4,1.7,56
36980,430,0.4,1.7,56
37410,430,0.4,1.7,56
37840,430,0.4,1.7,56
38270,430,0.4,1.7,56
38700,430,0.4,1.7,56
39130,430,0.4,1.7,56
39560,430,0.4,1.7,56
39990,430,0.4,1.7,56
40420,430,0.4,1.7,56
40850,430,0.4,1.7,56
41280,430,0.4,1.7,56
41710,430,0.4,1.7,56
42140,430,0.4,1.7,56
42570,430,0.4,1.7,56
43000,430,0.4,1.7,56
43430,430,0.4,1.7,56
43860,430,0.4,1.7,56
44290,430,0.4,1.7,56
44720,430,0.4,1.7,56
45150,430,0.4,1.7,56
45580,430,0.4,1.7,56
46010,430,0.4,1.7,56
46440,430,0.4,1.7,56
46870,430,0.4,1.7,56
47300,430,0.4,1.7,56
47730,430,0.4,1.7,56
48160,430,0.4,1.7,56
48590,430,0.4,1.7,56
49020,430,0.4,1.7,56
49450,430,0.4,1.7,56
49880,430,0.4,1.7,56
50310,430,0.4,1.7,56
50740,430,0.4,1.7,56
51170,430,0.4,1.7,56
51600,430,0.4,1.7,56
52030,430,0.4,1.7,56
52460,430,0.4,1.7,56
52890,430,0.4,1.7,56
53320,430,0.4,1.7,56
53750,430,0.4,1.7,56
54180,430,0.4,1.7,56
54610,430,0.4,1.7,56
55040,430,0.4,1.7,56
55470,430,0.4,1.7,56
55900,430,0.4,1.7,56
56330,430,0.4,1.7,56
56760,430,0.4,1.7,56
57190,430,0.4,1.7,56
57620,430,0.4,1.7,56
58050,430,0.4,1.7,56
58480,430,0.4,1.7,56
58910,430,0.4,1.7,56
59340,430,0.4,1.7,56
59770,430,0.4,1.7,56
60200,430,0.4,1.7,56
60630,430,0.4,1.7,56
61060,430,0.4,1.7,56
61490,430,0.4,1.7,56
61920,430,0.4,1.7,56
62350,430,0.4,1.7,56
62780,430,0.4,1.7,56
63210,430,0.4,1.7,56
63640,430,0.4,1.7,56
64070,430,0.4,1.7,56
64500,430,0.4,1.7,56
64930,430,0.4,1.7,56
65360,430,0.4,1.7,56
65790,430,0.4,1.7,56
66220,430,0.4,1.7,56
66650,430,0.4,1.7,56
67080,430,0.4,1.7,56
67510,430,0.4,1.7,56
67940,430,0.4,1.7,56
68370,430,0.4,1.7,56
68800,430,0.4,1.7,56
69230,430,0.4,1.7,56
69660,430,0.4,1.7,56
70090,430,0.4,1.7,56
70520,430,0.4,1.7,56
70950,430,0.4,1.7,56
71380,430,0.4,1.7,56
71810,430,0.4,1.7,56
72240,430,0.4,1.7,56
72670,430,0.4,1.7,56
73100,430,0.4,1.7,56
73530,430,0.4,1.7,56
73960,430,0.4,1.7,56
74390,430,0.4,1.7,56
74820,430,0.4,1.7,56
75250,430,0.4,1.7,56
75680,430,0.4,1.7,56
76110,430,0.4,1.7,56
76540,430,0.4,1.7,56
76970,430,0.4,1.7,56
77400,430,0.4,1.7,56
77830,430,0.4,1.7,56
78260,430,0.4,1.7,56
78690,430,0.4,1.7,56
79120,430,0.4,1.7,56
79550,430,0.4,1.7,56
79980,430,0.4,1.7,56
80410,430,0.4,1.7,56
80840,430,0.4,1.7,56
81270,430,0.4,1.7,56
81700,430,0.4,1.7,56
82130,430,0.4,1.7,56
82560,430,0.4,1.7,56
82990,430,0.4,1.7,56
83420,430,0.4,1.7,56
83850,430,0.4,1.7,56
84280,430,0.4,1.7,56
84710,430,0.4,1.7,56
85140,430,0.4,1.7,56
85570,430,0.4,1.7,56
86000,430,0.4,1.7,56
86430,430,0.4,1.7,56
86860,430,0.4,1.7,56
87290,430,0.4,1.7,56
87720,430,0.4,1.7,56
88150,430,0.4,1.7,56
88580,430,0.4,1.7,56
89010,430,0.4,1.7,56
89440,430,0.4,1.7,56
89870,430,0.4,1.7,56
90300,430,0.4,1.7,56
90730,430,0.4,1.7,56
91160,430,0.4,1.7,56
91590,430,0.4,1.7,56
92020,430,0.4,1.7,56
92450,430,0.4,1.7,56
92880,430,0.4,1.7,56
93310,430,0.4,1.7,56
93740,430,0.4,1.7,56
94170,430,0.4,1.7,56
94600,430,0.4,1.7,56
95030,430,0.4,1.7,56
95460,430,0.4,1.7,56
95890,430,0.4,1.7,56
96320,430,0.4,1.7,56
96750,430,0.4,1.7,56
97180,430,0.4,1.7,56
97610,430,0.4,1.7,56
98040,430,0.4,1.7,56
98470,430,0.4,1.7,56
98900,430,0.4,1.7,56
99330,430,0.4,1.7,56
99760,430,0.4,1.7,56
100190,430,0.4,1.7,56
100620,430,0.4,1.7,56
101050,430,0.4,1.7,56
101480,430,0.4,1.7,56
101910,430,0.4,1.7,56
102340,430,0.4,1.7,56
102770,430,0.4,1.7,56
103200,430,0.4,1.7,56
103630,430,0.4,1.7,56
104060,430,0.4,1.7,56
104490,430,0.4,1.7,56
104920,430,0.4,1.7,56
105350,430,0.4,1.7,56
105780,430,0.4,1.7,56
106210,430,0.4,1.7,56
106640,430,0.4,1.7,56
107070,430,0.4,1.7,56
107500,430,0.4,1.7,56
107930,430,0.4,1.7,56
108360,430,0.4,1.7,56
108790,430,0.4,1.7,56
109220,430,0.4,1.7,56
109650,430,0.4,1.7,56
110080,430,0.4,1.7,56
110510,430,0.4,1.7,56
110940,430,0.4,1.7,56
111370,430,0.4,1.7,56
111800,430,0.4,1.7,56
112230,430,0.4,1.7,56
112660,430,0.4,1.7,56
113090,430,0.4,1.7,56
113520,430,0.4,1.7,56
113950,430,0.4,1.7,56
114380,430,0.4,1.7,56
114810,430,0.4,1.7,56
115240,430,0.4,1.7,56
115670,430,0.4,1.7,56
116100,430,0.4,1.7,56
116530,430,0.4,1.7,56
116960,430,0.4,1.7,56
117390,430,0.4,1.7,56
117820,430,0.4,1.7,56
118250,430,0.4,1.7,56
118680,430,0.4,1.7,56
119110,430,0.4,1.7,56
119540,430,0.4,1.7,56
119970,430,0.4,1.7,56
120400,430,0.4,1.7,56
120830,430,0.4,1.7,56
121260,430,0.4,1.7,56
121690,430,0.4,1.7,56
122120,430,0.4,1.7,56
122550,430,0.4,1.7,56
122980,430,0.4,1.7,56
123410,430,0.4,1.7,56
123840,430,0.4,1.7,56
124270,430,0.4,1.7,56
124700,430,0.4,1.7,56
125130,430,0.4,1.7,56
125560,430,0.4,1.7,56
125990,430,0.4,1.7,56
126420,430,0.4,1.7,56
126850,430,0.4,1.7,56
127280,430,0.4,1.7,56
127710,430,0.4,1.7,56
128140,430,0.4,1.7,56
128570,430,0.4,1.7,56
129000,430,0.4,1.7,56
129430,430,0.4,1.7,56
129860,430,0.4,1.7,56
130290,430,0.4,1.7,56
130720,430,0.4,1.7,56
131150,430,0.4,1.7,56
131580,430,0.4,1.7,56
132010,430,0.4,1.7,56
132440,430,0.4,1.7,56
132870,430,0.4,1.7,56
133300,430,0.4,1.7,56
133730,430,0.4,1.7,56
134160,430,0.4,1.7,56
134590,430,0.4,1.7,56
135020,430,0.4,1.7,56
135450,430,0.4,1.7,56
135880,430,0.4,1.7,56
136310,430,0.4,1.7,56
136740,430,0.4,1.7,56
137170,430,0.4,1.7,56
137600,430,0.4,1.7,56
138030,430,0.4,1.7,56
138460,430,0.4,1.7,56
138890,430,0.4,1.7,56
139320,430,0.4,1.7,56
139750,430,0.4,1.7,56
140180,430,0.4,1.7,56
140610,430,0.4,1.7,56
141040,430,0.4,1.7,56
141470,430,0.4,1.7,56
141900,430,0.4,1.7,56
142330,430,0.4,1.7,56
142760,430,0.4,1.7,56
143190,430,0.4,1.7,56
143620,430,0.4,1.7,56
144050,430,0.4,1.7,56
144480,430,0.4,1.7,56
144910,430,0.4,1.7,56
145340,430,0.4,1.7,56
145770,430,0.4,1.7,56
146200,430,0.4,1.7,56
146630,430,0.4,1.7,56
147060,430,0.4,1.7,56
147490,430,0.4,1.7,56
147920,430,0.4,1.7,56
148350,430,0.4,1.7,56
148780,430,0.4,1.7,56
149210,430,0.4,1.7,56
149640,430,0.4,1.7,56
150070,430,0.4,1.7,56
150500,430,0.4,1.7,56
150930,430,0.4,1.7,56
151360,430,0.4,1.7,56
151790,430,0.4,1.7,56
152220,430,0.4,1.7,56
152650,430,0.4,1.7,56
153080,430,0.4,1.7,56
153510,430,0.4,1.7,56
153940,430,0.4,1.7,56
154370,430,0.4,1.7,56
154800,430,0.4,1.7,56
155230,430,0.4,1.7,56
155660,430,0.4,1.7,56
156090,430,0.4,1.7,56
156520,430,0.4,1.7,56
156950,430,0.4,1.7,56
157380,430,0.4,1.7,56
157810,430,0.4,1.7,56
158240,430,0.4,1.7,56
158670,430,0.4,1.7,56
159100,430,0.4,1.7,56
159530,430,0.4,1.7,56
159960,430,0.4,1.7,56
160390,430,0.4,1.7,56
